Date,Price
06-11-2023,1304.60
07-11-2023,1311.60
08-11-2023,1338.20
09-11-2023,1333.55
10-11-2023,1332.70
12-11-2023,1348.05
13-11-2023,1340.25
15-11-2023,1347.95
16-11-2023,1328.20
17-11-2023,1304.80
20-11-2023,1289.20
21-11-2023,1297.50
22-11-2023,1301.30
23-11-2023,1304.75
24-11-2023,1344.35
28-11-2023,1406.55
29-11-2023,1394.95
30-11-2023,1370.45
01-12-2023,1391.75
04-12-2023,1396.15
05-12-2023,1432.55
06-12-2023,1438.50
07-12-2023,1457.65
08-12-2023,1458.75
11-12-2023,1434.20
12-12-2023,1368.15
13-12-2023,1376.25
14-12-2023,1338.95
15-12-2023,1330.95
18-12-2023,1371.20
19-12-2023,1347.70
20-12-2023,1296.15
21-12-2023,1295.95
22-12-2023,1278.35
26-12-2023,1281.95
27-12-2023,1266.45
28-12-2023,1261.10
29-12-2023,1267.90
01-01-2024,1275.45
02-01-2024,1275.80
03-01-2024,1260.40
04-01-2024,1238.65
05-01-2024,1209.55
08-01-2024,1209.50
09-01-2024,1204.00
10-01-2024,1226.70
11-01-2024,1228.95
12-01-2024,1199.65
15-01-2024,1222.90
16-01-2024,1198.45
17-01-2024,1162.95
18-01-2024,1120.40
19-01-2024,1088.05
20-01-2024,1097.00
23-01-2024,1060.90
24-01-2024,1072.45
25-01-2024,1125.05
29-01-2024,1105.85
30-01-2024,1030.40
31-01-2024,1003.50
01-02-2024,981.85
02-02-2024,961.65
05-02-2024,953.65
06-02-2024,961.50
07-02-2024,997.40
08-02-2024,983.65
09-02-2024,964.80
12-02-2024,956.35
13-02-2024,955.30
14-02-2024,974.90
15-02-2024,961.55
16-02-2024,972.40
19-02-2024,993.35
20-02-2024,987.25
21-02-2024,982.50
22-02-2024,990.70
23-02-2024,985.20
26-02-2024,986.05
27-02-2024,990.70
28-02-2024,1020.70
29-02-2024,1029.15
01-03-2024,1024.30
02-03-2024,1029.00
04-03-2024,1011.30
05-03-2024,999.95
06-03-2024,980.80
07-03-2024,965.35
11-03-2024,958.45
12-03-2024,955.05
13-03-2024,908.85
14-03-2024,934.95
15-03-2024,925.40
18-03-2024,907.55
19-03-2024,907.75
20-03-2024,889.70
21-03-2024,896.55
22-03-2024,933.00
26-03-2024,925.00
27-03-2024,941.55
28-03-2024,926.50
01-04-2024,960.55
02-04-2024,953.20
03-04-2024,940.00
04-04-2024,942.35
05-04-2024,909.65
08-04-2024,918.10
09-04-2024,904.00
10-04-2024,913.30
12-04-2024,914.35
15-04-2024,903.35
16-04-2024,905.30
18-04-2024,902.80
19-04-2024,918.30
22-04-2024,932.90
23-04-2024,922.30
24-04-2024,939.55
25-04-2024,925.70
26-04-2024,937.55
29-04-2024,949.60
30-04-2024,953.60
02-05-2024,944.75
03-05-2024,932.60
06-05-2024,926.00
07-05-2024,962.30
08-05-2024,968.65
09-05-2024,957.50
10-05-2024,983.55
13-05-2024,994.40
14-05-2024,1010.45
15-05-2024,1041.05
16-05-2024,1068.40
17-05-2024,1044.00
18-05-2024,1026.75
21-05-2024,1041.40
22-05-2024,1028.95
23-05-2024,1039.10
24-05-2024,1023.20
27-05-2024,1036.80
28-05-2024,1016.15
29-05-2024,1024.05
30-05-2024,1002.45
31-05-2024,1043.25
03-06-2024,1041.40
04-06-2024,1032.60
05-06-2024,1058.45
06-06-2024,1051.40
07-06-2024,1114.50
10-06-2024,1112.25
11-06-2024,1116.05
12-06-2024,1126.15
13-06-2024,1148.25
14-06-2024,1147.65
18-06-2024,1197.30
19-06-2024,1173.30
20-06-2024,1154.20
21-06-2024,1120.15
24-06-2024,1092.70
25-06-2024,1107.55
26-06-2024,1078.90
27-06-2024,1057.60
28-06-2024,1051.65
01-07-2024,1088.90
02-07-2024,1098.35
03-07-2024,1125.90
04-07-2024,1125.65
05-07-2024,1094.65
08-07-2024,1069.60
09-07-2024,1053.70
10-07-2024,1050.10
11-07-2024,1050.35
12-07-2024,1026.10
15-07-2024,1035.10
16-07-2024,1063.85
18-07-2024,1038.65
19-07-2024,1036.30
22-07-2024,1054.00
23-07-2024,1053.55
24-07-2024,1079.95
